"Date","Price","Open","High","Low","Vol.","Change %"
"06/26/2022","1,810.18","1,838.15","1,841.34","1,784.10","","-0.88%"
"06/19/2022","1,826.18","1,840.40","1,848.44","1,816.70","","-0.72%"
"06/12/2022","1,839.35","1,875.80","1,877.38","1,804.65","","-1.69%"
"06/05/2022","1,870.96","1,850.29","1,876.47","1,825.02","","1.09%"
"05/29/2022","1,850.77","1,852.19","1,874.30","1,828.28","","-0.11%"
"05/22/2022","1,852.73","1,846.53","1,869.99","1,841.14","","0.38%"
"05/15/2022","1,845.68","1,811.05","1,849.59","1,786.95","","1.91%"
"05/08/2022","1,811.15","1,883.80","1,885.95","1,799.24","","-3.81%"
"05/01/2022","1,882.96","1,896.09","1,910.03","1,850.33","","-0.71%"
"04/24/2022","1,896.40","1,931.09","1,934.71","1,872.19","","-1.73%"
"04/17/2022","1,929.73","1,972.84","1,998.60","1,926.52","","-2.27%"
"04/10/2022","1,974.54","1,947.15","1,981.82","1,940.05","","1.47%"
"04/03/2022","1,945.85","1,924.94","1,948.46","1,915.24","","1.12%"
"03/27/2022","1,924.30","1,958.75","1,959.36","1,890.03","","-1.69%"
"03/20/2022","1,957.40","1,922.24","1,966.19","1,910.89","","1.89%"
"03/13/2022","1,921.09","1,985.49","1,990.33","1,895.22","","-3.23%"
"03/06/2022","1,985.29","1,977.09","2,070.29","1,958.80","","0.86%"
"02/27/2022","1,968.45","1,920.86","1,970.80","1,890.59","","4.29%"
"02/20/2022","1,887.56","1,900.40","1,974.48","1,879.05","","-0.54%"
"02/13/2022","1,897.87","1,861.55","1,902.84","1,844.27","","2.04%"
"02/06/2022","1,859.96","1,806.99","1,865.63","1,806.94","","2.90%"
"01/30/2022","1,807.49","1,791.19","1,815.44","1,785.03","","0.92%"
"01/23/2022","1,791.03","1,834.49","1,853.98","1,779.88","","-2.30%"
"01/16/2022","1,833.24","1,817.90","1,848.36","1,805.53","","0.88%"
"01/09/2022","1,817.22","1,795.41","1,829.66","1,790.43","","1.20%"
"01/02/2022","1,795.63","1,830.14","1,832.06","1,782.63","","-1.79%"
"12/26/2021","1,828.39","1,808.19","1,830.58","1,788.94","","1.12%"
"12/19/2021","1,808.11","1,799.40","1,812.70","1,784.58","","0.58%"
"12/12/2021","1,797.68","1,782.94","1,814.63","1,753.84","","0.85%"
"12/05/2021","1,782.51","1,784.79","1,793.60","1,769.43","","-0.07%"
"11/28/2021","1,783.74","1,790.05","1,809.38","1,761.68","","-0.45%"
"11/21/2021","1,791.81","1,846.74","1,849.49","1,778.44","","-2.86%"
"11/14/2021","1,844.60","1,868.15","1,877.40","1,842.98","","-1.04%"
"11/07/2021","1,864.04","1,818.44","1,868.73","1,812.08","","2.60%"
"10/31/2021","1,816.73","1,783.24","1,818.61","1,758.45","","1.90%"
"10/24/2021","1,782.81","1,794.00","1,810.49","1,771.70","","-0.54%"
"10/17/2021","1,792.48","1,767.74","1,814.22","1,759.68","","1.43%"
"10/10/2021","1,767.26","1,757.34","1,800.91","1,749.68","","0.60%"
"10/03/2021","1,756.67","1,762.15","1,781.60","1,745.45","","-0.21%"
"09/26/2021","1,760.36","1,751.24","1,764.63","1,721.07","","0.60%"
"09/19/2021","1,749.86","1,754.30","1,787.51","1,737.84","","-0.24%"
"09/12/2021","1,754.16","1,788.55","1,808.99","1,745.04","","-1.86%"
