date,today_state_of_the_economy,tomorrow_state_of_the_economy,next_week_state_of_the_economy,direction,magnitude
2022-05-01,0,0,-24.83,DOWN,0.71
2022-05-08,0,0,5.5,DOWN,3.81
2022-05-15,0,0,14.9,UP,1.91
2022-05-22,0,0,1.09,UP,0.38
2022-05-29,0,0,-19.67,DOWN,0.11
2022-06-05,0,0,74.2,UP,1.09
2022-06-12,0,0,-5.5,DOWN,1.69
2022-06-19,0,0,14.9,DOWN,0.72
2022-06-26,0,0,-51,DOWN,0.88
2022-07-03,0,0,-42.2,DOWN,3.78
2022-07-10,0,0,-5.5,DOWN,2.01
2022-07-17,0,0,77,UP,1.15
2022-07-24,0,0,-75,UP,2.25
2022-07-31,0,0,-11.8,UP,0.51
2022-08-07,0,0,-65.5,UP,1.56
2022-08-14,0,0,-72.43,DOWN,2.99
2022-08-21,0,0,-25.83,DOWN,0.63
2022-08-28,0,0,5.5,DOWN,1.46
2022-09-04,0,0,-12.2,UP,0.27
2022-09-11,0,0,37,DOWN,2.4
2022-09-18,0,0,-65.5,DOWN,1.9
2022-09-25,0,0,-32.17,UP,1.01
2022-10-02,0,0,2.5,UP,2.1
2022-10-09,0,0,-65.5,DOWN,3.11
2022-10-16,0,0,-14.9,UP,0.91
2022-10-23,0,0,-39.45,DOWN,0.9
2022-10-30,0,0,-32.25,UP,2.35
2022-11-06,0,0,32.25,UP,5.38
2022-11-13,0,0,-65.5,DOWN,1.18
2022-11-20,0,0,-54.47,UP,0.37
2022-11-27,0,0,2.75,UP,2.37
2022-12-04,0,0,-10.2,DOWN,0.07
2022-12-11,0,0,-72.43,DOWN,0.24
2022-12-18,0,0,-65.5,UP,0.31
2022-12-25,0,0,-24.8,UP,1.47
2023-01-01,0,0,-67.75,UP,2.26
2023-01-08,0,0,-67.75,UP,2.92
2023-01-15,0,0,-72.43,UP,0.33
2023-01-22,0,0,-49.45,UP,0.04
2023-01-29,0,0,-65.5,DOWN,3.21
2023-02-05,0,0,-40.2,DOWN,0.05
