iteration,timestamp,accuracy,samples,w_VPRWG,w_ZBEYU,w_GKORG,w_JCDYM,w_LUXEM,w_EEWPQ,w_PIIRP,w_YHIYY,w_MXSBY,w_ASXLP,w_YFVMV,w_FCHGZ,w_RQUMP,w_ISFDE,w_YPAXY,w_LUNIH,w_LIFLX,w_HKJPS,w_WDLPA,w_ZORRY,w_HMUGW,w_ZVAPL,w_ALMVK,w_BRHWF,w_BZLYI,w_IEDWO,w_XWBVZ,w_ZJOIV,w_FLPVV
56,2026-01-09T21:07:29.541878,0.5826086956521739,574,3.0,4.0,5.0,6.0,5.0,5.0,7.0,7.0,3.0,4.0,4.0,7.0,5.0,6.0,4.0,5.0,5.0,7.0,5.0,8.0,5.0,6.0,6.0,4.0,5.0,6.0,5.0,3.0,5.0
57,2026-01-09T21:07:35.959456,0.5391304347826087,574,5.0,4.0,6.0,6.0,5.0,5.0,6.0,5.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,4.0,5.0,7.0,5.0,9.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,3.0,6.0
58,2026-01-09T21:07:43.356676,0.5391304347826087,574,4.0,3.0,5.0,6.0,4.0,5.0,7.0,7.0,4.0,4.0,6.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,8.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,3.0,7.0
59,2026-01-09T21:07:49.637195,0.5739130434782609,574,3.0,4.0,5.0,6.0,6.0,5.0,7.0,6.0,3.0,3.0,4.0,6.0,4.0,6.0,6.0,6.0,5.0,7.0,4.0,7.0,4.0,5.0,5.0,5.0,5.0,6.0,5.0,3.0,6.0
60,2026-01-09T21:07:55.701955,0.5652173913043478,574,4.0,4.0,6.0,5.0,5.0,5.0,7.0,6.0,3.0,4.0,6.0,6.0,4.0,6.0,6.0,5.0,5.0,8.0,5.0,9.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0,3.0,6.0
61,2026-01-09T21:08:01.762028,0.5391304347826087,574,4.0,4.0,5.0,5.0,4.0,6.0,6.0,6.0,3.0,4.0,5.0,6.0,5.0,7.0,5.0,5.0,4.0,7.0,5.0,8.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0
62,2026-01-09T21:08:07.853735,0.5565217391304348,574,4.0,4.0,5.0,6.0,5.0,5.0,6.0,6.0,4.0,4.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,7.0,5.0,8.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,3.0,6.0
63,2026-01-09T21:08:13.935141,0.5391304347826087,574,4.0,4.0,5.0,6.0,5.0,5.0,6.0,6.0,3.0,4.0,4.0,6.0,6.0,6.0,5.0,5.0,5.0,7.0,6.0,8.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,3.0,5.0
64,2026-01-09T21:08:20.036774,0.5739130434782609,574,4.0,4.0,5.0,6.0,5.0,5.0,6.0,6.0,3.0,4.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,9.0,5.0,5.0,6.0,6.0,4.0,6.0,5.0,3.0,5.0
65,2026-01-09T21:08:26.110626,0.5652173913043478,574,5.0,4.0,5.0,6.0,4.0,5.0,5.0,6.0,4.0,4.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,5.0,8.0,5.0,6.0,7.0,4.0,6.0,6.0,5.0,3.0,6.0
